Steering Wheel,,,,,Price in us dollars,
Materials/Products,Quantity,Price per Unit,SubTotal,Shipping,Total Price,Links
Steering Wheel,1,59,59,3,62,https://www.aliexpress.com/item/1005005748732216.html?spm=a2g0o.detail.0.0.771aF986F986OE&mp=1
RKJXT1F42001 Multi-function switch,1,3.66,3.66,0,3.66,https://www.aliexpress.com/item/1005006287472896.html?spm=a2g0o.cart.0.0.295838daYNvhOv&mp=1
Push Button Switch with caps(pack of 50),1,2.2,2.2,0,2.2,"https://www.aliexpress.com/item/1005001700262900.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.3.dedc2Nkd2Nkdsq&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=ea68574a-2666-4e59-a2fa-c057ce48ff6b&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:ea68574a-2666-4e59-a2fa-c057ce48ff6b,tpp_buckets:668%232846%238108%231977&pdp_ext_f=%7B%22order%22%3A%2246%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005001700262900%7C_p_origin_prod%3A"
Rotary encoders 15mm shaft(pack of 5),1,3.7,3.7,0,3.7,https://www.aliexpress.com/item/32877104625.html?spm=a2g0o.productlist.main.1.48556bd7NRqWOd&aem_p4p_detail=202512260523295366502074963100001276967&algo_pvid=1431a988-9934-4868-8815-4e6e2980ab92&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32877104625%7C_p_origin_prod%3A&search_p4p_id=202512260523295366502074963100001276967_1
Knob of rotary encoders (pack of 10(,1,1.4,1.4,0,1.4,https://www.aliexpress.com/item/1005006995837493.html?spm=a2g0o.productlist.main.16.58eba5a4rt7KPi&algo_pvid=26de8e72-05c5-4207-9564-9d77d845d36d&aem_p4p_detail=2025122605252814300115747411750001318343&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006995837493%7C_p_origin_prod%3A&search_p4p_id=2025122605252814300115747411750001318343_6
M6 x60mm screw,6,0.17,1.02,0,1.02,https://www.dedeman.ro/ro/surub-cu-cap-hexagonal-filetat-complet-otel-zincat-alb-m6-x-60-mm/p/6000728
M6 nuts,6,0.032,0.192,0,0.19,https://www.dedeman.ro/ro/piulita-hexagonala-cu-autoblocare-din-otel-din-985-8-m6/p/6006481
M3 x16mm screw(pack of 20),1,0.86,0.86,0,0.86,https://www.dedeman.ro/ro/surub-cu-cap-bombat-amprenta-cruce-cu-piulita-easy-fix-otel-zincat-alb-m3-x-16-mm-set-20-bucati/p/6014509
Pico 2,1,5.5,5.5,0,5.5,https://www.tme.eu/ro/details/sc1631/raspberry-pi-sisteme-incorporate/raspberry-pi/raspberry-pi-pico-2/
3d printed parts(Q = kg),0.7,35,24.5,0,24.5,
1N4148,25,0.247,6.175,0,6.18,https://www.tme.eu/ro/details/1n4148-dio/diode-universale-tht/diotec-semiconductor/1n4148/
28AWG Black Cable,2,0.5,1,0.7,1.7,https://www.aliexpress.com/item/1005008612186010.html?spm=a2g0o.cart.0.0.295838daYNvhOv&mp=1
28AWG Red Cable,2,0.5,1,0,1,https://www.aliexpress.com/item/1005008612186010.html?spm=a2g0o.cart.0.0.295838daYNvhOv&mp=1
,,,,,,
,,,,,,
,,,110.21,3.7,113.91,