Designator,Footprint,Quantity,Value,LCSC Part #
50W RESISTOR,DEGSON DG381-3.5-02P-14-00A(H),1,DEGSON DG381-3.5-02P-14-00A(H),C5272864
"C1, C12, C2, C23, C29, C30, C33, C39, C4, C40, C5, C6, C7, C8",402,14,100nF,C1525
"C10, C11, C3, C9",402,4,4.7uF,C23733
"C13, C20, C24, C25",805,4,22uF,C711104
"C14, C15, C16, C19, C27",603,5,1uF,C15849
"C17, C18",402,2,15pF,C161530
"C21, C22, C31, C32, C34",805,5,10uF,C440198
C26,603,1,100nF,C1591
C28,603,1,47nF,C1622
"C35, C36, C37, C38",CAP_EEEFK1H221P,4,220uF,C72499
D1,D_SMC,1,SMCJ30A,C4154618
D10,402,1,LED,C434446
D2,D_SMA,1,SS14,C2837270
J1,USB_C_Receptacle_G-Switch_GT-USB-7051x,1,USB_C_Receptacle_USB2.0_16P,C2843970
J3,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,1,Encoder,
J4,DORABO DB128V-5.08-5P-GN-S,1,DB128V-5.08-5P-GN-S,C2927513
L1,AOTA-B201610S3R3-101-T,1,3.3uH,C42411119
L2,VLS6045EX-4R7M-H,1,4.7 uH,C360735
L3,IND_ETQP4M220KVK,1,ETQP4M220KVK,C542324
"Q1, Q2, Q3, Q4, Q5, Q6",TDSON-8-1,6,CSD18532Q5B,
Q7,SOT-23,1,IRLZ44N(UMW),C42370423
"R1, R5, R6",402,3,33,C25105
"R13, R14, R15, R4, R7",402,5,1k,C11702
"R16, R19, R29, R31",402,4,10k,C25744
R18,402,1,100k,C25741
"R2, R3",402,2,5k1,C25905
"R20, R21, R22",2512,3,5M1,C419720
R30,402,1,31k6,C11463
"R8, R9",402,2,27,C278580
S1,SW_TL3365AF180QG,1,TL3365AF180QG,C2886926
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm,1,DRV8323RSRGZR,
U2,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2354A,
U3,TSOT-23-6,1,AP63203WU,C780769
Y2,XTAL_ABM8-272-T3,1,ABM8-272-T3,C20625731